MSFT,STK,USD,NASDAQ,SMART
GOOG,STK,USD,NASDAQ,SMART
AAPL,STK,USD,NASDAQ,SMART
SPY,STK,USD,ARCA,SMART
IBM,STK,USD,NYSE,SMART
XOM,STK,USD,NYSE,SMART
A,STK,USD,NYSE,SMART
ABC,STK,USD,NYSE,SMART
ADM,STK,USD,NYSE,SMART
AES,STK,USD,NYSE,SMART
AIV,STK,USD,NYSE,SMART
AMAT,STK,USD,NASDAQ,SMART
AMT,STK,USD,NYSE,SMART
APC,STK,USD,NYSE,SMART
AVGO,STK,USD,NASDAQ,SMART
BAX,STK,USD,NYSE,SMART
BF B,STK,USD,NYSE,SMART
BLL,STK,USD,NYSE,SMART
BXP,STK,USD,NYSE,SMART
CAT,STK,USD,NYSE,SMART
CCL,STK,USD,NYSE,SMART
CFG,STK,USD,NYSE,SMART
CINF,STK,USD,NASDAQ,SMART
CMI,STK,USD,NYSE,SMART
COG,STK,USD,NYSE,SMART
COTY,STK,USD,NYSE,SMART
CSX,STK,USD,NASDAQ,SMART
CXO,STK,USD,NYSE,SMART
DG,STK,USD,NYSE,SMART
DISCK,STK,USD,NASDAQ,SMART
DOV,STK,USD,NYSE,SMART
DUK,STK,USD,NYSE,SMART
EA,STK,USD,NASDAQ,SMART
EL,STK,USD,NYSE,SMART
ES,STK,USD,NYSE,SMART
EW,STK,USD,NYSE,SMART
FB,STK,USD,NASDAQ,SMART
FIS,STK,USD,NYSE,SMART
FTI,STK,USD,NYSE,SMART
GILD,STK,USD,NASDAQ,SMART
GOOGL,STK,USD,NASDAQ,SMART
HAL,STK,USD,NYSE,SMART
HCP,STK,USD,NYSE,SMART
HOG,STK,USD,NYSE,SMART
HPQ,STK,USD,NYSE,SMART
HST,STK,USD,NYSE,SMART
INTU,STK,USD,NASDAQ,SMART
ITW,STK,USD,NYSE,SMART
JPM,STK,USD,NYSE,SMART
KLAC,STK,USD,NASDAQ,SMART
KORS,STK,USD,NYSE,SMART
LEN,STK,USD,NYSE,SMART
LNT,STK,USD,NYSE,SMART
LYB,STK,USD,NYSE,SMART
MAT,STK,USD,NASDAQ,SMART
MDLZ,STK,USD,NASDAQ,SMART
MMM,STK,USD,NYSE,SMART
MPC,STK,USD,NYSE,SMART
MSI,STK,USD,NYSE,SMART
NAVI,STK,USD,NASDAQ,SMART
NFLX,STK,USD,NASDAQ,SMART
NOC,STK,USD,NYSE,SMART
NRG,STK,USD,NYSE,SMART
NWSA,STK,USD,NASDAQ,SMART
OXY,STK,USD,NYSE,SMART
PEG,STK,USD,NYSE,SMART
PGR,STK,USD,NYSE,SMART
PNR,STK,USD,NYSE,SMART
